local_path,obs_key,size,status,message
b'E:\\PythonProject\\obs_sync_check\\.config.key',,0,SCAN_SKIP,hidden_file
b'E:\\PythonProject\\obs_sync_check\\.idea\\.gitignore',,0,SCAN_SKIP,hidden_file
b'E:\\PythonProject\\obs_sync_check\\.venv\\.gitignore',,0,SCAN_SKIP,hidden_file
E:\PythonProject\obs_sync_check\.git\HEAD,test_0312/.git/HEAD,20,SUCCESS,
E:\PythonProject\obs_sync_check\.git\FETCH_HEAD,test_0312/.git/FETCH_HEAD,222,SUCCESS,
E:\PythonProject\obs_sync_check\.git\description,test_0312/.git/description,73,SUCCESS,
E:\PythonProject\obs_sync_check\.git\AUTO_MERGE,test_0312/.git/AUTO_MERGE,41,SUCCESS,
E:\PythonProject\obs_sync_check\.git\COMMIT_EDITMSG,test_0312/.git/COMMIT_EDITMSG,6,SUCCESS,
E:\PythonProject\obs_sync_check\.git\config,test_0312/.git/config,367,SUCCESS,
E:\PythonProject\obs_sync_check\obs_migrate.py,test_0312/obs_migrate.py,18160,SUCCESS,
E:\PythonProject\obs_sync_check\.idea\modules.xml,test_0312/.idea/modules.xml,291,SUCCESS,
E:\PythonProject\obs_sync_check\check_report\obs_sync_check_20260414_110306.csv,test_0312/check_report/obs_sync_check_20260414_110306.csv,0,SUCCESS,
E:\PythonProject\obs_sync_check\.idea\dataSources.xml,test_0312/.idea/dataSources.xml,556,SUCCESS,
E:\PythonProject\obs_sync_check\.git\index,test_0312/.git/index,2601,SUCCESS,
E:\PythonProject\obs_sync_check\check_report\obs_sync_check_20260414_110648_summary.json,test_0312/check_report/obs_sync_check_20260414_110648_summary.json,301,SUCCESS,
E:\PythonProject\obs_sync_check\.git\ORIG_HEAD,test_0312/.git/ORIG_HEAD,41,SUCCESS,
E:\PythonProject\obs_sync_check\.venv\pyvenv.cfg,test_0312/.venv/pyvenv.cfg,418,SUCCESS,
E:\PythonProject\obs_sync_check\config.ini,test_0312/config.ini,2128,SUCCESS,
E:\PythonProject\obs_sync_check\check_report\obs_sync_check_20260414_110524_summary.json,test_0312/check_report/obs_sync_check_20260414_110524_summary.json,302,SUCCESS,
E:\PythonProject\obs_sync_check\requirements.txt,test_0312/requirements.txt,54,SUCCESS,
E:\PythonProject\obs_sync_check\.idea\obs_migrate_test.iml,test_0312/.idea/obs_migrate_test.iml,574,SUCCESS,
E:\PythonProject\obs_sync_check\.idea\misc.xml,test_0312/.idea/misc.xml,303,SUCCESS,
E:\PythonProject\obs_sync_check\README.txt,test_0312/README.txt,8759,SUCCESS,
E:\PythonProject\obs_sync_check\check_report\obs_sync_check_20260414_111532_summary.json,test_0312/check_report/obs_sync_check_20260414_111532_summary.json,302,SUCCESS,
E:\PythonProject\obs_sync_check\.idea\sqldialects.xml,test_0312/.idea/sqldialects.xml,256,SUCCESS,
E:\PythonProject\obs_sync_check\check_report\obs_sync_check_20260414_112149_summary.json,test_0312/check_report/obs_sync_check_20260414_112149_summary.json,301,SUCCESS,
E:\PythonProject\obs_sync_check\check_report\obs_sync_check_20260414_112118_summary.json,test_0312/check_report/obs_sync_check_20260414_112118_summary.json,302,SUCCESS,
E:\PythonProject\obs_sync_check\core\obs_index.py,test_0312/core/obs_index.py,1164,SUCCESS,
E:\PythonProject\obs_sync_check\.idea\dataSources.local.xml,test_0312/.idea/dataSources.local.xml,881,SUCCESS,
E:\PythonProject\obs_sync_check\.idea\workspace.xml,test_0312/.idea/workspace.xml,10462,SUCCESS,
E:\PythonProject\obs_sync_check\.idea\vcs.xml,test_0312/.idea/vcs.xml,185,SUCCESS,
E:\PythonProject\obs_sync_check\check_report\obs_sync_check_20260414_112816_summary.json,test_0312/check_report/obs_sync_check_20260414_112816_summary.json,302,SUCCESS,
E:\PythonProject\obs_sync_check\core\uploader.py,test_0312/core/uploader.py,11647,SUCCESS,
E:\PythonProject\obs_sync_check\core\utils.py,test_0312/core/utils.py,3905,SUCCESS,
E:\PythonProject\obs_sync_check\core\checkpoint.py,test_0312/core/checkpoint.py,5085,SUCCESS,
E:\PythonProject\obs_sync_check\core\progress.py,test_0312/core/progress.py,2338,SUCCESS,
E:\PythonProject\obs_sync_check\.venv\CACHEDIR.TAG,test_0312/.venv/CACHEDIR.TAG,197,SUCCESS,
E:\PythonProject\obs_sync_check\check_report\obs_sync_check_20260414_110821_summary.json,test_0312/check_report/obs_sync_check_20260414_110821_summary.json,301,SUCCESS,
E:\PythonProject\obs_sync_check\logs\obs_sync_check_20260414_2.log,test_0312/logs/obs_sync_check_20260414_2.log,0,SUCCESS,
E:\PythonProject\obs_sync_check\core\scanner.py,test_0312/core/scanner.py,8037,SUCCESS,
E:\PythonProject\obs_sync_check\logs\obs_sync_check_20260414_10.log,test_0312/logs/obs_sync_check_20260414_10.log,316,SUCCESS,
E:\PythonProject\obs_sync_check\core\report.py,test_0312/core/report.py,5754,SUCCESS,
E:\PythonProject\obs_sync_check\core\scheduler.py,test_0312/core/scheduler.py,1600,SUCCESS,
E:\PythonProject\obs_sync_check\core\__init__.py,test_0312/core/__init__.py,903,SUCCESS,
E:\PythonProject\obs_sync_check\core\ratelimiter.py,test_0312/core/ratelimiter.py,858,SUCCESS,
E:\PythonProject\obs_sync_check\core\build_db.py,test_0312/core/build_db.py,905,SUCCESS,
E:\PythonProject\obs_sync_check\check_report\obs_sync_check_20260414_105840_summary.json,test_0312/check_report/obs_sync_check_20260414_105840_summary.json,303,SUCCESS,
E:\PythonProject\obs_sync_check\state\tasks.db-shm,test_0312/state/tasks.db-shm,32768,SUCCESS,
E:\PythonProject\obs_sync_check\tests\test_core.py,test_0312/tests/test_core.py,9052,SUCCESS,
E:\PythonProject\obs_sync_check\core\dashboard.py,test_0312/core/dashboard.py,3493,SUCCESS,
E:\PythonProject\obs_sync_check\.venv\Scripts\activate.bat,test_0312/.venv/Scripts/activate.bat,1458,SUCCESS,
E:\PythonProject\obs_sync_check\.git\hooks\pre-commit.sample,test_0312/.git/hooks/pre-commit.sample,1649,SUCCESS,
E:\PythonProject\obs_sync_check\.venv\Scripts\activate_this.py,test_0312/.venv/Scripts/activate_this.py,1282,SUCCESS,
E:\PythonProject\obs_sync_check\.git\hooks\post-update.sample,test_0312/.git/hooks/post-update.sample,189,SUCCESS,
E:\PythonProject\obs_sync_check\.idea\inspectionProfiles\Project_Default.xml,test_0312/.idea/inspectionProfiles/Project_Default.xml,937,SUCCESS,
E:\PythonProject\obs_sync_check\.git\hooks\prepare-commit-msg.sample,test_0312/.git/hooks/prepare-commit-msg.sample,1492,SUCCESS,
E:\PythonProject\obs_sync_check\.venv\Scripts\activate.fish,test_0312/.venv/Scripts/activate.fish,3078,SUCCESS,
E:\PythonProject\obs_sync_check\.git\hooks\applypatch-msg.sample,test_0312/.git/hooks/applypatch-msg.sample,478,SUCCESS,
E:\PythonProject\obs_sync_check\.git\hooks\pre-push.sample,test_0312/.git/hooks/pre-push.sample,1374,SUCCESS,
E:\PythonProject\obs_sync_check\.git\hooks\commit-msg.sample,test_0312/.git/hooks/commit-msg.sample,896,SUCCESS,
E:\PythonProject\obs_sync_check\.git\info\exclude,test_0312/.git/info/exclude,240,SUCCESS,
E:\PythonProject\obs_sync_check\.venv\Scripts\activate.ps1,test_0312/.venv/Scripts/activate.ps1,1667,SUCCESS,
E:\PythonProject\obs_sync_check\.git\hooks\pre-rebase.sample,test_0312/.git/hooks/pre-rebase.sample,4898,SUCCESS,
E:\PythonProject\obs_sync_check\.venv\Scripts\activate.nu,test_0312/.venv/Scripts/activate.nu,2775,SUCCESS,
E:\PythonProject\obs_sync_check\.git\hooks\pre-receive.sample,test_0312/.git/hooks/pre-receive.sample,544,SUCCESS,
E:\PythonProject\obs_sync_check\.git\hooks\sendemail-validate.sample,test_0312/.git/hooks/sendemail-validate.sample,2308,SUCCESS,
E:\PythonProject\obs_sync_check\.venv\Scripts\libffi-8.dll,test_0312/.venv/Scripts/libffi-8.dll,39696,SUCCESS,
E:\PythonProject\obs_sync_check\.git\hooks\pre-applypatch.sample,test_0312/.git/hooks/pre-applypatch.sample,424,SUCCESS,
E:\PythonProject\obs_sync_check\.git\hooks\pre-merge-commit.sample,test_0312/.git/hooks/pre-merge-commit.sample,416,SUCCESS,
E:\PythonProject\obs_sync_check\check_report\obs_sync_check_20260414_113049.csv,test_0312/check_report/obs_sync_check_20260414_113049.csv,0,SUCCESS,
E:\PythonProject\obs_sync_check\.git\hooks\fsmonitor-watchman.sample,test_0312/.git/hooks/fsmonitor-watchman.sample,4726,SUCCESS,
E:\PythonProject\obs_sync_check\.venv\Scripts\activate,test_0312/.venv/Scripts/activate,2259,SUCCESS,
E:\PythonProject\obs_sync_check\test_data\test.txt,test_0312/test_data/test.txt,81,SUCCESS,
E:\PythonProject\obs_sync_check\.git\hooks\update.sample,test_0312/.git/hooks/update.sample,3650,SUCCESS,
E:\PythonProject\obs_sync_check\.git\logs\HEAD,test_0312/.git/logs/HEAD,3529,SUCCESS,
E:\PythonProject\obs_sync_check\.idea\inspectionProfiles\profiles_settings.xml,test_0312/.idea/inspectionProfiles/profiles_settings.xml,174,SUCCESS,
E:\PythonProject\obs_sync_check\.git\hooks\push-to-checkout.sample,test_0312/.git/hooks/push-to-checkout.sample,2783,SUCCESS,
E:\PythonProject\obs_sync_check\check_report\obs_sync_check_20260414_110648.csv,test_0312/check_report/obs_sync_check_20260414_110648.csv,668909,SUCCESS,
E:\PythonProject\obs_sync_check\state\tasks.db-wal,test_0312/state/tasks.db-wal,49472,SUCCESS,
E:\PythonProject\obs_sync_check\logs\obs_sync_check_20260414_4.log,test_0312/logs/obs_sync_check_20260414_4.log,769253,SUCCESS,
E:\PythonProject\obs_sync_check\.idea\dataSources\data_sources_history.xml,test_0312/.idea/dataSources/data_sources_history.xml,1111,SUCCESS,
E:\PythonProject\obs_sync_check\__pycache__\obs_migrate.cpython-313.pyc,test_0312/__pycache__/obs_migrate.cpython-313.pyc,22291,SUCCESS,
E:\PythonProject\obs_sync_check\.venv\Scripts\select.pyd,test_0312/.venv/Scripts/select.pyd,30992,SUCCESS,
E:\PythonProject\obs_sync_check\.venv\Scripts\pydoc.bat,test_0312/.venv/Scripts/pydoc.bat,24,SUCCESS,
E:\PythonProject\obs_sync_check\check_report\obs_sync_check_20260414_105840.csv,test_0312/check_report/obs_sync_check_20260414_105840.csv,655441,SUCCESS,
E:\PythonProject\obs_sync_check\.venv\Scripts\deactivate.bat,test_0312/.venv/Scripts/deactivate.bat,537,SUCCESS,
E:\PythonProject\obs_sync_check\.venv\Scripts\vcruntime140_1.dll,test_0312/.venv/Scripts/vcruntime140_1.dll,49744,SUCCESS,
E:\PythonProject\obs_sync_check\.venv\Scripts\pip3.13.exe,test_0312/.venv/Scripts/pip3.13.exe,108415,SUCCESS,
E:\PythonProject\obs_sync_check\.idea\dataSources\40937db4-ffa3-41fd-9340-5eed3f648699.xml,test_0312/.idea/dataSources/40937db4-ffa3-41fd-9340-5eed3f648699.xml,60960,SUCCESS,
E:\PythonProject\obs_sync_check\.venv\Scripts\_ctypes_test.pyd,test_0312/.venv/Scripts/_ctypes_test.pyd,37136,SUCCESS,
E:\PythonProject\obs_sync_check\.venv\Scripts\_lzma.pyd,test_0312/.venv/Scripts/_lzma.pyd,157968,SUCCESS,
E:\PythonProject\obs_sync_check\.venv\Scripts\pygmentize.exe,test_0312/.venv/Scripts/pygmentize.exe,108409,SUCCESS,
E:\PythonProject\obs_sync_check\.venv\Scripts\_testimportmultiple.pyd,test_0312/.venv/Scripts/_testimportmultiple.pyd,25360,SUCCESS,
E:\PythonProject\obs_sync_check\logs\obs_sync_check_20260414_3.log,test_0312/logs/obs_sync_check_20260414_3.log,767093,SUCCESS,
E:\PythonProject\obs_sync_check\.venv\Scripts\_testcapi.pyd,test_0312/.venv/Scripts/_testcapi.pyd,269072,SUCCESS,
E:\PythonProject\obs_sync_check\.venv\Scripts\pip.exe,test_0312/.venv/Scripts/pip.exe,108415,SUCCESS,
E:\PythonProject\obs_sync_check\.venv\Scripts\_hashlib.pyd,test_0312/.venv/Scripts/_hashlib.pyd,64272,SUCCESS,
E:\PythonProject\obs_sync_check\.venv\Scripts\winsound.pyd,test_0312/.venv/Scripts/winsound.pyd,29968,SUCCESS,
E:\PythonProject\obs_sync_check\.venv\Scripts\_socket.pyd,test_0312/.venv/Scripts/_socket.pyd,83728,SUCCESS,
E:\PythonProject\obs_sync_check\.venv\Scripts\chardetect.exe,test_0312/.venv/Scripts/chardetect.exe,108404,SUCCESS,
E:\PythonProject\obs_sync_check\.venv\Scripts\_testinternalcapi.pyd,test_0312/.venv/Scripts/_testinternalcapi.pyd,80656,SUCCESS,
E:\PythonProject\obs_sync_check\.venv\Scripts\_uuid.pyd,test_0312/.venv/Scripts/_uuid.pyd,25872,SUCCESS,
E:\PythonProject\obs_sync_check\.venv\Scripts\vcruntime140.dll,test_0312/.venv/Scripts/vcruntime140.dll,120400,SUCCESS,
